JobNumber,TotalLevel,Period,actual_total
1,2,1,8999.2800
1,2,2,8425.0000
1,2,3,8500.0000
1,2,4,8500.0000
1,2,5,-36591.7000
1,2,7,300.0000
1,3,1,11866.7700
1,3,5,0.0000
1,3,10,0.0000
1,4,1,2759.0400
1000,3,1,-8458.9200
1000,3,2,25.4300
1000,3,3,-730.2700
1000,7,6,55.0000
1000,7,9,214.8400
1003,1,1,-28669.2700
1003,1,2,-28669.2700
1003,1,3,-28669.2700
1003,1,4,-28669.2700
1003,1,5,-28669.2700
1003,1,6,-28669.2700
1003,1,7,-28669.2700
1003,1,8,-28669.2700
1003,1,9,-28669.2700
1003,1,10,-28669.2700
1003,1,11,-28669.2700
1003,2,1,24087.2600
1003,2,2,24025.7400
1003,2,3,23909.5600
1003,2,4,24521.1400
1003,2,5,21547.6500
1003,2,6,19438.2500
1003,2,7,22051.4500
1003,2,8,18206.0000
1003,2,9,19316.8900
1003,2,10,15144.0900
1003,2,11,8763.0800
1003,3,1,2541.8100
1003,3,2,2644.3700
1003,3,3,5280.4500
1003,3,4,3563.7400
1003,3,5,4116.3800
1003,3,6,3657.8600
1003,3,7,3490.3300
1003,3,8,3939.5200
1003,3,9,2535.8700
1003,3,10,2640.8200
1003,3,11,1405.4800
1003,4,4,70.6600
1003,4,8,245.0000
1003,4,10,208.5000
1003,5,3,567.5500
1003,5,4,1013.6800
1003,5,5,624.2500
1003,5,7,704.3300
1003,5,9,406.2500
1003,7,10,350.0000
1007,1,1,-1019.5400
1007,1,2,-1019.5400
1007,1,3,-1019.5400
1007,1,4,-631.1500
1007,2,1,565.6700
1007,2,2,593.2300
1007,2,3,641.6900
1007,2,4,344.8900
1007,2,5,8.5900
1007,2,6,189.6300
1007,3,1,256.2300
1007,3,3,229.5400
1007,3,4,222.2600
1008,1,1,-2181.6700
1008,1,2,-2181.6700
1008,1,3,-1738.2700
1008,1,4,-1268.2700
1008,1,5,-1738.2700
1008,1,6,-1738.2700
1008,1,7,-1738.2700
1008,1,8,-377.9000
1008,2,1,1141.2900
1008,2,2,701.5800
1008,2,3,855.0800
1008,2,4,790.6800
1008,2,5,815.2200
1008,2,6,817.7300
1008,2,7,519.0200
1008,2,8,249.1900
1008,3,1,82.6200
1008,3,2,77.7200
1008,3,3,49.2700
1008,3,4,49.2700
1008,3,5,91.0400
1009,1,1,-1244.4900
1009,1,2,-1244.4900
1009,1,3,-1244.4900
1009,1,4,-1244.4900
1009,1,5,-1244.4900
1009,1,6,-1244.4900
1009,1,7,-1244.4900
1009,1,8,-270.5000
1009,2,1,254.0100
1009,2,2,451.3200
1009,2,3,472.2500
1009,2,4,350.6300
1009,2,5,407.6400
1009,2,6,408.8600
1009,2,7,248.1400
1009,2,8,104.4300
1009,3,1,19.8000
1009,3,3,12.6000
1009,3,4,35.1400
1009,3,5,19.2000
1009,4,4,20.5600
1010,1,2,-2615.7500
1010,1,8,-522.0000
1010,1,9,-667.0000
1010,1,10,-667.0000
1010,1,11,-667.0000
1010,2,1,549.8900
1010,2,2,288.9000
1010,2,3,1563.8200
1010,2,4,1275.4200
1010,2,5,1223.5500
1010,2,6,1274.0300
1010,2,7,1438.7500
1010,2,8,348.0900
1010,3,1,39.7000
1010,3,2,20.6500
1010,3,3,37.1800
1010,3,4,33.8000
1010,3,5,19.2000
1011,1,1,-2751.9600
1011,1,2,-2751.9600
1011,1,3,-2751.9600
1011,1,4,-2751.9600
1011,1,5,-2751.9600
1011,1,6,-2751.9600
1011,1,7,-2751.9600
1011,1,8,-598.2500
1011,2,1,722.4700
1011,2,2,1599.0500
1011,2,3,101.5800
1011,2,4,350.6000
1011,2,5,407.5500
1011,2,6,408.8500
1011,2,7,254.6600
1011,2,8,116.0400
1011,3,1,111.7700
1011,3,2,111.0800
1011,3,3,112.3000
1011,3,4,93.8400
1011,3,5,110.0000
1011,4,4,20.5600
1012,1,1,-2023.8600
1012,1,2,-2023.8600
1012,1,3,-2023.8600
1012,1,4,-2023.8600
1012,1,5,-2023.8600
1012,1,6,-2023.8600
1012,1,7,-2023.8600
1012,1,8,-2023.8600
1012,1,9,-2023.8600
1012,1,10,-2023.8600
1012,1,11,-2023.8600
1012,2,1,1398.5500
1012,2,2,1360.2900
1012,2,3,1394.1400
1012,2,4,1289.1400
1012,2,5,1329.9600
1012,2,6,1445.9200
1012,2,7,1130.3000
1012,2,8,1369.9300
1012,2,9,1317.3500
1012,2,10,1070.0300
1012,2,11,532.0500
1012,3,1,104.5300
1012,3,4,55.7400
1012,3,5,154.5800
1012,3,6,93.1400
1012,3,7,93.1400
1012,7,8,36.5100
1025,1,1,-3028.7900
1025,1,2,-2626.3300
1025,1,3,-2626.3300
1025,1,4,-2626.3300
1025,1,5,-2626.3300
1025,1,6,-2626.3300
1025,1,7,-2626.3300
1025,1,8,-2626.3300
1025,1,9,-2626.3300
1025,1,10,-2626.3300
1025,1,11,-2626.3300
1025,2,1,1102.5800
1025,2,2,1644.5400
1025,2,3,1807.0600
1025,2,4,1672.6800
1025,2,5,1838.0100
1025,2,6,1668.6800
1025,2,7,1852.5900
1025,2,8,1463.3500
1025,2,9,1695.3500
1025,2,10,1546.8000
1025,2,11,700.5200
1025,4,4,20.5600
1027,1,1,-1545.0000
1027,1,2,-1545.0000
1027,1,3,-1545.0000
1027,1,4,-1545.0000
1027,1,5,-1545.0000
1027,1,6,-1545.0000
1027,1,7,-1545.0000
1027,1,8,-1545.0000
1027,1,9,-134.3400
1027,2,1,382.3600
1027,2,2,408.4100
1027,2,3,446.0000
1027,2,4,350.8900
1027,2,5,494.8400
1027,2,6,428.4800
1027,2,7,443.5700
1027,2,8,441.6500
1027,2,9,62.0300
1027,3,1,316.8000
1027,3,2,303.5400
1027,3,3,278.9800
1027,4,4,20.5600
1032,1,1,-5015.2500
1032,1,2,-5015.2500
1032,1,3,-5015.2500
1032,1,4,-5015.2500
1032,1,5,-5015.2500
1032,1,6,-5015.2500
1032,1,7,-5075.2500
1032,1,8,-5015.2500
1032,1,9,-5015.2500
1032,1,10,-5015.2500
1032,1,11,-5015.2500
1032,2,1,2496.9100
1032,2,2,2550.4300
1032,2,3,2693.7100
1032,2,4,2498.7600
1032,2,5,2900.7200
1032,2,6,2545.1900
1032,2,7,2957.9100
1032,2,8,2219.6500
1032,2,9,2447.9800
1032,2,10,2251.9100
1032,2,11,1042.0700
1032,3,3,136.9600
1032,3,5,113.6500
1032,3,7,45.7500
1032,3,8,109.7600
1032,3,10,141.9200
1033,1,1,-8133.0000
1033,1,2,-8133.0000
1033,1,3,-8133.0000
1033,1,4,-8133.0000
1033,1,5,-8133.0000
1033,1,6,-8133.0000
1033,1,7,-8133.0000
1033,1,8,-8133.0000
1033,1,9,-8133.0000
1033,1,10,-8408.0000
1033,1,11,-8133.0000
1033,2,1,8518.6700
1033,2,2,7425.2400
1033,2,3,7702.4300
1033,2,4,7708.1200
1033,2,5,8559.3300
1033,2,6,7863.9000
1033,2,7,8697.2700
1033,2,8,6425.5700
1033,2,9,7966.9200
1033,2,10,7890.0500
1033,2,11,3514.2200
1033,3,1,333.8800
1033,3,2,114.3400
1033,3,3,617.8100
1033,3,5,329.7700
1033,3,6,189.0700
1033,3,7,83.5000
1033,3,8,197.5400
1033,3,10,196.5600
1033,4,3,50.1000
1033,4,4,120.7600
1033,4,10,47.5000
1033,5,10,164.9900
1034,1,1,-2969.4500
1034,1,2,-2679.0500
1034,1,3,-2098.2500
1034,1,4,-2969.4500
1034,1,5,-2098.2500
1034,1,6,-2098.2500
1034,1,7,-2098.2500
1034,1,8,-2098.2500
1034,1,9,-2098.2500
1034,1,10,-2098.2500
1034,1,11,-2098.2500
1034,2,1,1599.8900
1034,2,2,1533.1200
1034,2,3,1970.7100
1034,2,4,1770.2200
1034,2,5,2056.9100
1034,2,6,1691.1300
1034,2,7,1896.5700
1034,2,8,1436.7100
1034,2,9,1694.1700
1034,2,10,1617.1200
1034,2,11,761.0700
1034,3,3,132.9500
1034,3,5,110.6500
1034,3,6,42.9500
1034,3,7,45.7500
1034,3,8,131.6800
1034,3,10,98.3100
1034,4,4,120.7600
1035,1,1,-1631.8300
1035,1,2,-1631.8300
1035,1,3,-1631.8300
1035,1,4,-1631.8300
1035,1,5,-1631.8300
1035,1,6,-1631.8300
1035,1,7,-1631.8300
1035,1,8,-2201.8300
1035,1,9,-2201.8300
1035,1,10,-2201.8300
1035,1,11,-2201.8300
1035,2,1,937.7400
1035,2,2,1256.8600
1035,2,3,1277.6400
1035,2,4,1210.9600
1035,2,5,1570.1200
1035,2,6,1256.1700
1035,2,7,814.2200
1035,2,8,983.3400
1035,2,9,914.5300
1035,2,10,971.9500
1035,2,11,436.2900
1035,3,1,389.9800
1035,3,6,682.1800
1035,5,10,164.9900
1037,1,1,-1457.0000
1037,1,2,-1457.0000
1037,1,3,-1457.0000
1037,1,4,-1457.0000
1037,1,5,-1457.0000
1037,1,6,-1457.0000
1037,1,7,-1457.0000
1037,1,8,-1457.0000
1037,1,9,-1457.0000
1037,1,10,-1457.0000
1037,1,11,-1457.0000
1037,2,1,612.5800
1037,2,2,1294.0000
1037,2,3,678.9300
1037,2,4,670.2900
1037,2,5,462.9300
1037,2,6,530.2100
1037,2,7,601.9100
1037,2,8,510.6200
1037,2,9,554.4100
1037,2,10,490.1200
1037,2,11,233.8700
1037,5,10,164.9900
1038,1,1,-1200.0000
1038,1,3,-550.0000
1038,1,4,-820.3000
1038,1,7,-3245.0000
1038,2,6,89.2500
1038,2,7,83.4200
1040,2,2,857.3700
1040,2,3,1245.9600
1041,1,1,-1187.1100
1041,1,2,-1187.1100
1041,1,3,-2350.0000
1041,1,4,-1187.1100
1041,1,5,-1187.1100
1041,1,6,-1187.1100
1041,1,7,-1187.1100
1041,1,8,-1187.1100
1041,1,9,-1187.1100
1041,1,10,-1187.1100
1041,1,11,-1187.1100
1041,2,1,1214.7300
1041,2,2,987.3800
1041,2,3,699.4500
1041,2,4,748.8900
1041,2,5,815.7800
1041,2,6,967.0700
1041,2,7,998.6800
1041,2,8,1072.2900
1041,2,9,1272.4800
1041,2,10,1360.3300
1041,2,11,591.4300
1041,3,1,149.2700
1041,3,2,149.5000
1041,3,3,147.5100
1041,3,4,185.7100
1041,3,5,152.2300
1041,3,6,354.2900
1041,3,7,234.4500
1041,3,8,632.1500
1041,3,9,420.7900
1041,3,10,44.6000
1041,3,11,193.0200
1041,4,2,2.2000
1051,1,1,-6818.0000
1051,1,2,-4342.0000
1051,1,3,-5580.0000
1051,1,4,-5580.0000
1051,1,5,-5580.0000
1051,1,6,-5580.0000
1051,1,7,-5580.0000
1051,1,8,-5580.0000
1051,1,9,-5580.0000
1051,1,10,-5580.0000
1051,1,11,-4342.0000
1051,2,1,7057.3700
1051,2,2,4609.3000
1051,2,3,6651.7100
1051,2,4,4668.3200
1051,2,5,5918.5200
1051,2,6,4484.7900
1051,2,7,4805.0100
1051,2,8,4204.9700
1051,2,9,5261.9900
1051,2,10,4518.9700
1051,2,11,1701.0100
1051,3,2,276.0000
1051,3,3,44.5100
1051,3,4,441.4000
1051,3,5,534.6300
1051,3,6,226.0400
1051,3,7,243.6300
1051,3,8,21.6000
1051,3,9,238.1900
1051,3,10,317.5200
1051,3,11,311.1500
1051,4,2,762.0000
1051,4,3,100.2000
1051,4,4,20.5600
1051,4,10,47.5000
1052,1,1,-10900.0000
1052,1,2,-10900.0000
1052,1,3,-10900.0000
1053,1,1,-7191.6500
1053,1,2,-7191.6500
1053,1,3,-7191.6500
1053,1,4,-7191.6500
1053,1,5,-7191.6500
1053,1,6,-7191.6500
1053,1,7,-7191.6500
1053,1,8,-7191.6500
1053,1,9,-7191.6500
1053,1,10,-7191.6500
1053,1,11,-7191.6500
1053,2,1,4472.3200
1053,2,2,5016.3600
1053,2,3,5164.6800
1053,2,4,4958.0300
1053,2,5,5186.3200
1053,2,6,4994.4500
1053,2,7,5276.7400
1053,2,8,4220.5800
1053,2,9,5048.3700
1053,2,10,4367.5400
1053,2,11,2114.8200
1053,3,7,216.8700
1053,3,9,67.3200
1053,4,3,50.1000
1053,4,6,75.0000
1053,4,10,47.5000
1055,1,1,-1185.0000
1055,1,2,-1185.0000
1055,1,3,-1185.0000
1055,1,4,-1185.0000
1055,1,5,-1185.0000
1055,1,6,-1185.0000
1055,1,7,-1185.0000
1055,1,8,-1185.0000
1055,1,9,-1185.0000
1055,1,10,-1435.0000
1055,1,11,-1185.0000
1055,2,1,388.9300
1055,2,2,695.0500
1055,2,3,612.1600
1055,2,4,687.4800
1055,2,5,673.5600
1055,2,6,568.8000
1055,2,7,701.5700
1055,2,8,501.3300
1055,2,9,648.6100
1055,2,10,509.8300
1055,2,11,253.0600
1055,3,2,12.6000
1055,3,4,115.1400
1055,3,7,33.2000
1055,4,2,260.5000
1056,1,1,-1600.0000
1056,1,2,-1600.0000
1056,1,3,-1600.0000
1056,1,4,-1600.0000
1056,1,5,-1600.0000
1056,1,6,-1600.0000
1056,1,7,-1600.0000
1056,1,8,-1600.0000
1056,1,9,-1600.0000
1056,1,10,-1600.0000
1056,1,11,-1600.0000
1056,2,1,1037.6500
1056,2,2,1108.9400
1056,2,3,747.7300
1056,2,4,507.6100
1056,2,5,566.5900
1056,2,6,926.7100
1056,2,7,872.4400
1056,2,8,783.5800
1056,2,9,1326.8900
1056,2,10,692.4900
1056,2,11,397.6000
1056,3,2,263.7600
1056,3,4,36.9700
1056,3,7,33.2000
1056,3,8,9.0000
1056,3,9,231.0500
1056,3,10,20.6000
1057,1,1,5450.0000
1057,1,2,5450.0000
1057,1,3,5450.0000
1057,1,4,-5450.0000
1057,1,5,-5600.0000
1057,1,6,-6525.2500
1057,1,7,-5574.6300
1057,1,8,-6324.6000
1057,1,9,-5450.0000
1057,1,10,-5450.0000
1057,1,11,-5450.0000
1057,2,1,5340.7200
1057,2,2,5503.3600
1057,2,3,5780.2800
1057,2,4,5811.8300
1057,2,5,5389.2900
1057,2,6,5600.2600
1057,2,7,6414.3000
1057,2,8,4431.9800
1057,2,9,5654.2300
1057,2,10,5228.5700
1057,2,11,2454.5400
1057,3,1,419.1500
1057,3,2,40.6100
1057,3,3,468.5600
1057,3,4,492.5500
1057,3,6,212.2100
1057,3,7,155.6400
1057,3,8,292.3500
1057,3,9,412.3800
1057,3,10,496.2800
1057,3,11,56.0900
1057,4,4,209.5600
1057,4,8,35.0000
1057,4,9,35.0000
1057,4,10,108.5000
1058,1,1,-6981.0500
1058,1,2,-6981.0500
1058,1,3,-6981.0500
1058,1,4,-6981.0500
1058,1,5,-6981.0500
1058,1,6,-7487.0500
1058,1,7,-6981.0500
1058,1,8,-6981.0500
1058,1,9,-6981.0500
1058,1,10,-6981.0500
1058,1,11,-7463.9400
1058,2,1,5309.5200
1058,2,2,5855.9200
1058,2,3,6355.8400
1058,2,4,6177.5800
1058,2,5,6313.4200
1058,2,6,5973.7800
1058,2,7,6064.7800
1058,2,8,5327.8400
1058,2,9,6012.4800
1058,2,10,5861.2500
1058,2,11,2782.6800
1058,3,1,190.0100
1058,3,2,521.2300
1058,3,3,272.7100
1058,3,4,163.6000
1058,3,5,279.8000
1058,3,7,215.3300
1058,3,9,411.5600
1058,3,10,82.2800
1059,7,6,5.0000
1060,1,1,-1945.6500
1060,1,2,-1945.6500
1060,1,3,-1945.6500
1060,1,4,-1945.6500
1060,1,5,-1945.6500
1060,1,6,-1945.6500
1060,1,7,-1945.6500
1060,1,8,-1945.6500
1060,1,9,-1945.6500
1060,1,10,-1945.6500
1060,1,11,-1945.6500
1060,2,1,1155.8500
1060,2,2,3355.7500
1060,2,3,2136.9300
1060,2,4,1576.8600
1060,2,5,1664.9700
1060,2,6,2117.8300
1060,2,7,1843.7300
1060,2,8,2175.6700
1060,2,9,2201.8500
1060,2,10,1631.6000
1060,2,11,944.2800
1060,3,2,127.0000
1060,3,3,536.9700
1060,3,5,255.6300
1060,3,9,84.1000
1060,3,10,87.2100
1060,4,8,35.0000
1061,1,1,-2432.0400
1061,1,2,-3620.5200
1061,1,3,-2729.1600
1061,1,4,-2729.1600
1061,1,5,-2729.1600
1061,1,6,-2729.1600
1061,1,7,-2729.1600
1061,1,8,-2729.1600
1061,1,9,-2729.1600
1061,1,10,-2729.1600
1061,1,11,-2729.1600
1061,2,1,2955.4100
1061,2,2,3365.4300
1061,2,3,4336.6900
1061,2,4,2653.2600
1061,2,5,3385.5600
1061,2,6,2380.4100
1061,2,7,2280.2000
1061,2,8,2288.0800
1061,2,9,3496.6300
1061,2,10,2253.7000
1061,2,11,1123.1800
1061,3,3,277.7800
1061,3,5,140.4900
1061,3,9,724.6000
1061,3,10,188.1600
1061,4,4,20.5600
1062,3,3,348.9600
1062,3,5,53.5500
1063,3,5,30.0400
1063,4,6,37.5000
1065,1,1,-1300.0000
1065,1,2,-1336.4600
1065,1,3,-1300.0000
1065,1,4,-1300.0000
1065,1,5,-1300.0000
1065,1,6,-1300.0000
1065,1,7,-1300.0000
1065,1,8,-1300.0000
1065,1,9,-1300.0000
1065,1,10,-1300.0000
1065,1,11,-1300.0000
1065,2,1,618.9100
1065,2,2,594.5500
1065,2,3,603.4700
1065,2,4,686.1900
1065,2,5,757.0900
1065,2,6,636.2200
1065,2,7,776.9800
1065,2,8,685.3800
1065,2,9,754.6000
1065,2,10,739.1700
1065,2,11,332.0400
1065,3,7,33.2000
1065,3,8,6.3000
1065,3,9,301.8400
1066,1,1,-13127.0000
1066,1,2,-13127.0000
1066,1,3,-13127.0000
1066,1,4,-13127.0000
1066,1,5,-12243.7400
1066,1,6,-11998.4600
1066,1,7,-11998.4600
1066,1,8,-11998.4600
1066,1,9,-11998.4600
1066,1,10,-12027.4600
1066,1,11,-11998.4600
1066,2,1,12002.6100
1066,2,2,12524.2300
1066,2,3,15559.0400
1066,2,4,15201.1000
1066,2,5,16536.6100
1066,2,6,16065.6300
1066,2,7,17988.5800
1066,2,8,12820.7400
1066,2,9,13834.9700
1066,2,10,12944.0200
1066,2,11,5839.9700
1066,3,1,345.3900
1066,3,2,1905.2100
1066,3,3,375.6200
1066,3,4,1049.3500
1066,3,5,677.4000
1066,3,6,508.3400
1066,3,7,607.9200
1066,3,8,589.6200
1066,3,9,1117.5500
1066,3,10,286.1200
1066,3,11,477.7300
1066,4,4,70.6600
1066,4,8,70.0000
1066,4,10,47.5000
1067,1,1,-623.9500
1067,1,2,-623.9500
1067,1,3,-623.9500
1067,1,4,-623.9500
1067,1,5,-623.9500
1067,1,6,-623.9500
1067,1,7,-623.9500
1067,1,8,-623.9500
1067,2,1,390.9600
1067,2,2,492.3500
1067,2,3,320.6800
1067,2,4,296.5200
1067,2,5,299.8800
1067,2,6,320.2800
1067,2,7,258.9900
1067,2,8,297.0000
1067,2,9,7.5900
1068,1,1,-1138.0000
1068,1,2,-1138.0000
1068,1,3,-1138.0000
1068,1,4,-1138.0000
1068,1,5,-1138.0000
1068,1,6,-1138.0000
1068,1,7,-1138.0000
1068,1,8,-1138.0000
1068,1,9,-1138.0000
1068,1,10,-1138.0000
1068,1,11,-1138.0000
1068,2,1,453.8500
1068,2,2,494.3400
1068,2,3,397.3400
1068,2,4,617.2200
1068,2,5,650.6000
1068,2,6,588.8600
1068,2,7,585.6600
1068,2,8,535.6200
1068,2,9,543.6500
1068,2,10,453.0600
1068,2,11,281.2900
1068,3,4,56.1100
1068,3,7,33.2000
1068,3,8,24.3000
1068,3,10,534.0700
1069,1,1,-1667.4700
1069,1,2,-1667.4700
1069,1,3,-1667.4700
1069,1,4,-1667.4700
1069,1,5,-1667.4700
1069,1,6,-2099.4700
1069,1,7,-1667.5000
1069,1,8,-1667.4700
1069,1,9,-1667.4700
1069,1,10,-2054.5700
1069,1,11,-1992.4700
1069,2,4,330.0000
1069,2,5,48.4800
1069,2,6,1079.9500
1069,2,7,854.2600
1069,2,8,1003.7600
1069,2,9,916.3200
1069,2,10,954.2900
1069,2,11,427.3400
1069,3,3,-41.7500
1069,3,9,141.7300
1070,1,1,-634.2700
1070,1,2,-634.2700
1070,1,3,-634.2700
1070,1,4,-634.2700
1070,1,5,-634.2700
1070,1,6,-634.2700
1070,1,7,-634.2700
1070,1,8,-634.2700
1070,1,9,-634.2700
1070,1,10,-634.2700
1070,1,11,-634.2700
1070,2,1,461.5300
1070,2,2,541.7300
1070,2,3,658.3100
1070,2,4,465.1600
1070,2,5,475.2100
1070,2,6,683.7800
1070,2,7,577.4400
1070,2,8,433.8100
1070,2,9,440.2700
1070,2,10,480.7100
1070,2,11,178.0100
1070,3,7,33.2000
1070,3,8,15.3000
1071,1,1,-1892.5000
1071,1,2,-1892.5000
1071,1,3,-1892.5000
1071,1,4,-1892.5000
1071,1,5,-1892.5000
1071,1,6,-1892.5000
1071,1,7,-1892.5000
1071,1,8,-1892.5000
1071,1,9,-1892.5000
1071,1,10,-1892.5000
1071,1,11,-1892.5000
1071,2,1,1071.4600
1071,2,2,1446.9100
1071,2,3,1304.1400
1071,2,4,1011.3500
1071,2,5,1366.6500
1071,2,6,1070.8600
1071,2,7,907.9600
1071,2,8,1160.4600
1071,2,9,1218.1600
1071,2,10,1467.1300
1071,2,11,602.1100
1071,3,5,164.7500
1071,3,7,62.5600
1071,3,9,123.9800
1071,4,8,35.0000
1071,4,10,47.5000
1072,1,2,-180.0000
1072,1,4,-1609.8400
1072,1,5,-402.4600
1072,1,6,-402.4600
1072,1,7,-402.4600
1072,1,8,-402.4600
1072,1,9,-402.4600
1072,1,10,-402.4600
1072,1,11,-402.4600
1072,2,1,631.1800
1072,2,2,737.9700
1072,2,3,560.9900
1072,2,4,673.3900
1072,2,5,730.1000
1072,2,6,1049.8400
1072,2,7,997.2800
1072,2,8,873.7500
1072,2,9,810.9100
1072,2,10,1122.0600
1072,2,11,555.1600
1072,3,5,164.7100
1072,3,7,62.5500
1072,3,9,123.9700
1072,4,10,113.5000
1073,1,1,-301.5000
1073,1,2,-301.5000
1073,1,3,-301.5000
1073,1,4,-301.5000
1073,1,5,-301.5000
1073,1,6,-301.5000
1073,1,7,-301.5000
1073,1,8,-301.5000
1073,1,9,-301.5000
1073,1,10,-301.5000
1073,1,11,-301.5000
1073,2,1,65.4700
1073,2,2,55.3500
1073,2,3,168.8600
1073,2,4,151.6800
1073,2,5,136.5800
1073,2,6,76.7700
1073,2,7,93.5000
1073,2,8,62.9300
1073,2,9,83.8000
1073,2,10,85.9200
1073,2,11,26.8300
1074,1,1,-746.0800
1074,1,2,-746.0800
1074,1,3,-746.0800
1074,1,4,-746.0800
1074,1,5,-746.0800
1074,1,6,-746.0800
1074,1,7,-746.0800
1074,1,8,-746.0800
1074,1,9,-746.0800
1074,1,10,-746.0800
1074,1,11,-746.0800
1074,2,1,218.2300
1074,2,2,77.1900
1074,2,3,345.9800
1074,2,4,395.3400
1074,2,5,338.2200
1074,2,6,392.9400
1074,2,7,413.4300
1074,2,8,347.9600
1074,2,9,366.8000
1074,2,10,332.6100
1074,2,11,157.2900
1074,3,2,447.6000
1074,4,4,20.5600
1075,1,3,-400.0000
1075,1,4,-400.0000
1075,1,5,-400.0000
1075,1,6,-400.0000
1075,1,7,-400.0000
1075,1,8,-400.0000
1075,1,9,-400.0000
1075,1,10,-400.0000
1075,1,11,-400.0000
1075,2,5,197.6500
1075,2,6,307.2300
1075,2,7,281.7800
1075,2,8,342.2500
1075,2,9,253.2100
1075,2,10,313.3300
1075,2,11,126.7200
1076,1,2,-950.0000
1076,1,3,-950.0000
1076,1,4,-950.0000
1076,1,5,-950.0000
1076,1,6,-950.0000
1076,1,7,-950.0000
1076,1,8,-950.0000
1076,1,9,-950.0000
1076,1,10,-950.0000
1076,2,8,96.0000
1076,2,9,287.1900
1076,2,10,292.0000
1077,1,6,-1073.0000
1077,1,7,-785.0000
1077,1,8,-785.0000
1077,1,9,-785.0000
1077,1,10,-785.0000
1077,1,11,-785.0000
1077,2,6,662.5000
1077,2,7,828.3600
1077,2,8,983.3400
1077,2,9,920.3700
1077,2,10,890.0300
1077,2,11,422.4100
1078,1,10,-3870.3900
1078,1,11,-2169.0000
1078,2,10,1579.0500
1078,2,11,1117.5300
15014,2,2,1391.7700
15014,2,5,297.7100
2001,1,1,-3380.0000
2001,1,3,-975.0000
2001,2,1,436.5100
2001,2,2,79.6400
2001,2,4,650.0000
2001,3,1,126.0600
2001,3,3,520.5100
2002,2,2,1413.2900
2002,2,3,182.3600
2002,3,1,229.9100
2002,3,2,28.9000
2002,3,3,90.7900
